MEX,Mèxic,A
RSA,Sud-àfrica,A
KOR,Corea del Sud,A
CZE,República Txeca,A
CAN,Canadà,B
BIH,Bòsnia Herceg.,B
QAT,Qatar,B
SUI,Suïssa,B
BRA,Brasil,C
MAR,Marroc,C
HAI,Haití,C
SCO,Escòcia,C
USA,Estats Units,D
AUS,Austràlia,D
PAR,Paraguai,D
TUR,Turquia,D
GER,Alemanya,E
CUW,Curaçao,E
CIV,Costa d'Ivori,E
ECU,Equador,E
NED,Països Baixos,F
JPN,Japó,F
SWE,Suècia,F
TUN,Tunísia,F
BEL,Bèlgica,G
EGY,Egipte,G
IRN,Iran,G
NZL,Nova Zelanda,G
ESP,Espanya,H
CPV,Cap Verd,H
KSA,Aràbia Saudita,H
URU,Uruguai,H
FRA,França,I
SEN,Senegal,I
IRQ,Iraq,I
NOR,Noruega,I
ARG,Argentina,J
ALG,Algèria,J
AUT,Àustria,J
JOR,Jordània,J
POR,Portugal,K
COD,Rep. Dem. Congo,K
UZB,Uzbekistan,K
COL,Colòmbia,K
ENG,Anglaterra,L
CRO,Croàcia,L
GHA,Ghana,L
PAN,Panamà,L
